id,name,location,borough,image,website,facebook,twitter,foursquare,lat,lng
marcus-garvey-park,Marcus Garvey Park,Mt. Morris Park W & Madison Ave (btwn W 120th & W 124th St),manhattan,,http://nyc.gov/parks,,nycparks,c0qy2o,40.804883,-73.944332
field-42-randalls-island,Randalls Island Baseball Field #42,,manhattan,,,,,aPOAz9,40.796490,-73.915651
field-81-randalls-island,Randalls Island Field #81,,manhattan,,,,,1SXXYLI,40.783004,-73.932909
rotunda-columbia-university,Van Am Rotunda,,manhattan,,,,,fMIamk,40.80641,-73.962303
oculus-plaza,Oculus Plaza,,manhattan,,,,,2wt6cVK,40.71181,-74.011629
samuel-n-bennerson-2nd-playground,Samuel N. Bennerson 2nd Playground,,manhattan,,http://nyc.gov/parks,BartowPell,nycparks,cWTrXj,40.774141,-73.987736
moore-playground,Moore Playground,,manhattan,,http://nyc.gov/parks,BartowPell,nycparks,adjcuC,40.809396,-73.938288
intrepid,"Intrepid Sea, Air & Space Museum",Pier 86 (at W 46th St & 12th Ave),manhattan,,http://www.intrepidmuseum.org,IntrepidMuseum,intrepidmuseum,642ATp,40.764578,-73.999631
long-meadow-north-prospect-park,Long Meadow,Prospect Park (East Drive),brooklyn,,http://nyc.gov/parks,BartowPell,nycparks,1Jygt8,40.668758,-73.970304
rory-staunton-field,Rory Staunton Field,,queens,,,,,16Brixl,40.754039,-73.888869
sean-s-place,Sean's Place Playground,,queens,,,,,19wKEI2,40.760722,-73.918587
brevoort-playground,Brevoort Playground,Ralph Ave. bet. Chauncey St. and Sumpter St.,brooklyn,,http://www.nycgovparks.org/parks/brevoortplayground,,nycparks,lDqr52,40.680121,-73.92281
riverside-park-pier-1,Riverside Park South,Riverside Blvd (65th & 72nd Sts),manhattan,,http://nyc.gov/parks,BartowPell,nycparks,608Fdk,40.778324,-73.989111
firefighters-field-roosevelt-island,Firefighters Field,Roosevelt Island,manhattan,,,,,9YDkTr,40.757903,-73.953194
lemon-creek-park,Lemon Creek Park,Seguine Avenue (Johnston Terrace),staten-island,,http://nyc.gov/parks,BartowPell,nycparks,pz1UTM,40.512527,-74.19809
shore-park,Shore Park,Shore Road,bronx,,,,,ddHBgi,40.885033,-73.791813weathe
st-nicholas-park,St. Nicholas Park,St. Nicholas Ave (btwn 128th & 141st St),manhattan,,http://www.nycgovparks.org/parks/stnicholaspark,BartowPell,nycparks,bLMN0n,40.817885,-73.948438
st-nicholas-park-135-lawn-in-st-nicholas-park,St. Nicholas Park,St. Nicholas Ave (btwn 128th & 141st St),manhattan,,http://www.nycgovparks.org/parks/stnicholaspark,BartowPell,nycparks,bLMN0n,40.817885,-73.948438
hallets-cove,Hallet's Cove,Vernon Blvd (at 31st Ave),queens,,https://www.nycgovparks.org/facilities/kayak/25,nycparks,nycparks,aSWXtD,40.769919,-73.935321
washington-square-park,Washington Square Park,W 4th St (btwn MacDougal St & University Pl),manhattan,,http://nyc.gov/parks,BartowPell,nycparks,2TeXzS,40.730816,-73.997458
pier-i-in-riverside-park-south,Pier I Cafe,W. 70th St (Riverside Park South),manhattan,,http://piericafe.com,,piericafe,ci5E6k,40.779827,-73.988886
fort-greene-park,Fort Greene Park,Washington Park (btwn Myrtle & DeKalb Ave),brooklyn,,http://nyc.gov/parks,nycparks,nycparks,6Rc4IJ,40.691621,-73.975646
pier-46-greenwich-village,Pier 46,West St (at Charles St),manhattan,,http://www.hudsonriverpark.org,HudsonRiverPark,hudsonriverpark,901qrk,40.734157,-74.011132
schmul-park,Schmul Park,Wild Avenue (Melvin Avenue),staten-island,,http://nyc.gov/parks,BartowPell,nycparks,dtOoSh,40.590105,-74.1883
george-seuffert-bandshell-in-forest-park,George Seuffert Bandshell,"Woodhaven, NY 11421",queens,,,,,cItbmT,40.69903,-73.857955
yellowstone-park,Yellowstone Park,Yellowstone Blvd (68th Road),queens,,http://nyc.gov/parks,BartowPell,nycparks,dnaFUu,40.726251,-73.847759
coney-island-beach,Coney Island Beach,,brooklyn,,https://www.nycgovparks.org/parks/coney-island-beach-and-boardwalk/,nycparks,nycparks,70HQMX,40.5729572680988,-73.9809894561767
the-meadow-cedar-grove-park,Cedar Grove Park,,staten-island,,,,,,40.563968,-74.097731
electric-playground,Electric Playground,,queens,,http://nyc.gov/parks,BartowPell,nycparks,I9R2qA,40.735492,-73.807016
brookville-park,Brookville Park,,queens,,http://nyc.gov/parks,BartowPell,nycparks,ckiKPy,40.663139,-73.741692
phil-scooter-rizzuto-park,"Phil ""Scooter"" Rizzuto Park",,queens,,,,,N1VNq8,40.694487,-73.821847
midland-field,Midland Baseball Field,,staten-island,,http://nyc.gov/parks,BartowPell,nycparks,lbZ4zc,40.575069,-74.085617
seaside-wildlife-nature-park,Seaside Wildlife Nature Park,,staten-island,,http://nyc.gov/parks,BartowPell,nycparks,lfoi16,40.540259,-74.143227
