date,venue,title,year,synopsis,url,cost,details,rating,posterSource,poster
"16 Jul 2018",bryant-park,"Fried Green Tomatoes",1991,"A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.",http://bryantpark.org/programs/movie-nights,0,"Lawn opens at 5pm, movie starts between 8pm–9pm",PG-13,https://ia.media-imdb.com/images/M/MV5BOWQ1ZWE0MTQtMmEwOS00YjA3LTgyZTAtNjY5ODEyZTJjNDI2XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,/img/posters/2018/fried-green-tomatoes-1991.jpg
"23 Jul 2018",bryant-park,"The Princess Bride",1987,"While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride.",http://bryantpark.org/programs/movie-nights,0,"Lawn opens at 5pm, movie starts between 8pm–9pm",PG,https://ia.media-imdb.com/images/M/MV5BMGM4M2Q5N2MtNThkZS00NTc1LTk1NTItNWEyZjJjNDRmNDk5XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg,/img/posters/2018/the-princess-bride-1987.jpg
"30 Jul 2018",bryant-park,"When Harry Met Sally",1989,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",http://bryantpark.org/programs/movie-nights,0,"Lawn opens at 5pm, movie starts between 8pm–9pm",R,https://ia.media-imdb.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_SX300.jpg,/img/posters/2018/when-harry-met-sally-1989.jpg
"6 Aug 2018",bryant-park,"The Wiz",1978,"An adaptation of ""The Wizard of Oz"" that tries to capture the essence of the African-American experience.",http://bryantpark.org/programs/movie-nights,0,"Lawn opens at 5pm, movie starts between 8pm–9pm",G,https://ia.media-imdb.com/images/M/MV5BMzU0YzkzYjItOThjNi00NTU4LWIxZDEtN2U4NmFkMGFiOWI3XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,/img/posters/2018/the-wiz-1978.jpg
"13 Aug 2018",bryant-park,"Thelma and Louise",2015,,http://bryantpark.org/programs/movie-nights,0,"Lawn opens at 5pm, movie starts between 8pm–9pm",N/A,,
"20 Aug 2018",bryant-park,"The Terminator",1984,"A seemingly indestructible Android is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all cost",http://bryantpark.org/programs/movie-nights,0,"Lawn opens at 5pm, movie starts between 8pm–9pm",R,https://ia.media-imdb.com/images/M/MV5BODE1MDczNTUxOV5BMl5BanBnXkFtZTcwMTA0NDQyNA@@._V1_SX300.jpg,/img/posters/2018/the-terminator-1984.jpg
"5 Jun 2018",bronx-terminal-market,Sing,2016,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",http://bronxterminalmarket.com/events/,0,7:00pm,PG,https://ia.media-imdb.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_SX300.jpg,/img/posters/2018/sing-2016.jpg
"17 Jul 2018",bronx-terminal-market,"Beauty and the Beast",1991,"A young woman whose father has been imprisoned by a terrifying beast offers herself in his place, unaware that her captor is actually a prince, physically altered by a magic spell.",http://bronxterminalmarket.com/events/,0,8:00pm,G,https://ia.media-imdb.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,/img/posters/2018/beauty-and-the-beast-1991.jpg
"7 Aug 2018",bronx-terminal-market,Coco,2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",http://bronxterminalmarket.com/events/,0,9:00pm,PG,https://ia.media-imdb.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_SX300.jpg,
"9 Sep 2018",coney-island-beach,"Get Out",2017,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",https://www.coneyflicks.com/,0,,R,https://ia.media-imdb.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,/img/posters/2018/get-out-2017.jpg
"21 Aug 2018",coney-island-beach,"Crown Heights",2017,"When Colin Warner is wrongfully convicted of murder, his best friend Carl King devotes his life to proving Colin's innocence.",https://www.coneyflicks.com/,0,,R,https://ia.media-imdb.com/images/M/MV5BNTI3OTExMjY0OF5BMl5BanBnXkFtZTgwOTYyMjE0MzI@._V1_SX300.jpg,/img/posters/2018/crown-heights-2017.jpg
"28 Aug 2018",coney-island-beach,"Rogue One: A Star Wars Story",2016,"The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.",https://www.coneyflicks.com/,0,,PG-13,https://ia.media-imdb.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_SX300.jpg,
"31 Aug 2018",coney-island-beach,"Beauty and the Beast",1991,"A young woman whose father has been imprisoned by a terrifying beast offers herself in his place, unaware that her captor is actually a prince, physically altered by a magic spell.",https://www.coneyflicks.com/,0,,G,https://ia.media-imdb.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,/img/posters/2018/beauty-and-the-beast-1991.jpg
"17 Jul 2018",coney-island-beach,Landline,2017,"In 1995, a teenager living with her sister and parents in Manhattan discovers that her father is having an affair.",https://www.coneyflicks.com/,0,,R,https://ia.media-imdb.com/images/M/MV5BMjQzODc2MzQ4MV5BMl5BanBnXkFtZTgwNTU4MjU1MjI@._V1_SX300.jpg,/img/posters/2018/landline-2017.jpg
"31 Jul 2018",coney-island-beach,"La La Land",2016,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",https://www.coneyflicks.com/,0,,PG-13,https://ia.media-imdb.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_SX300.jpg,/img/posters/2018/la-la-land-2016.jpg
"14 Aug 2018",coney-island-beach,"The LEGO Batman Movie",2017,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",https://www.coneyflicks.com/,0,,PG,https://ia.media-imdb.com/images/M/MV5BMTcyNTEyOTY0M15BMl5BanBnXkFtZTgwOTAyNzU3MDI@._V1_SX300.jpg,
"11 Jul 2018",socrates-sculpture-park,"Monsoon Wedding",2001,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India.",http://socratessculpturepark.org/program/monsoonwedding/,0,"Pre-screening performance at 7pm, film starts at sundown",R,https://images-na.ssl-images-amazon.com/images/M/MV5BZWMzMDJhMjgtZjk2NS00ZDM4LThmOGMtOTQzYWU3N2Y4Y2M2XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,/img/posters/2018/monsoon-wedding-2001.jpg
"18 Jul 2018",socrates-sculpture-park,"Black Mother",2018,,http://socratessculpturepark.org/program/blackmother/,0,"Pre-screening performance at 7pm, film starts at sundown",N/A,,
"25 Jul 2018",socrates-sculpture-park,"The Young Girls of Rochefort",1967,"Two sisters leave their small seaside town of Rochefort in search of romance. Hired as carnival singers, one falls for an American musician, while the other must search for her ideal partner.",http://socratessculpturepark.org/program/theyounggirlsofrochefort/,0,"Pre-screening performance at 7pm, film starts at sundown",G,https://ia.media-imdb.com/images/M/MV5BZGI5NWY5ZTYtOWFiMC00YTM4LTg4NTAtMTE5OWI1N2FmNTg3XkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_SX300.jpg,/img/posters/2018/the-young-girls-of-rochefort-1967.jpg
"1 Aug 2018",socrates-sculpture-park,Loveling,2018,,http://socratessculpturepark.org/program/loveling/,0,"Pre-screening performance at 7pm, film starts at sundown",,,
"8 Aug 2018",socrates-sculpture-park,"Spirit of the Beehive",1973,"In 1940, after watching and being traumatized by the movie Frankenstein (1931), a sensitive seven year-old girl living in a small Spanish village drifts into her own fantasy world.",http://socratessculpturepark.org/program/spiritofthebeehive/,0,"Pre-screening performance at 7pm, film starts at sundown",,https://ia.media-imdb.com/images/M/MV5BZTRjNDQxZjQtNmMzYy00OWZjLWFhNmMtNGU2NDg1NjdjOTVjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,/img/posters/2018/spirit-of-the-beehive-1973.jpg
"15 Aug 2018",socrates-sculpture-park,Tampopo,1985,"A truck driver stops at a small family-run noodle shop and decides to help its fledgling business. The story is intertwined with various vignettes about the relationship of love and food.",http://socratessculpturepark.org/program/tampopo/,0,"Pre-screening performance at 7pm, film starts at sundown",,https://images-na.ssl-images-amazon.com/images/M/MV5BOTE5ZWY2MGEtYjA5ZS00YjdkLTk1MmMtNGFhMDRlNTkzNTRiXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg,/img/posters/2018/tampopo-1985.jpg
"22 Aug 2018",socrates-sculpture-park,Kedi,2016,"A profile of an ancient city and its unique people, seen through the eyes of the most mysterious and beloved animal humans have ever known, the Cat.",http://socratessculpturepark.org/program/kedi/,0,"Pre-screening performance at 7pm, film starts at sundown",,https://ia.media-imdb.com/images/M/MV5BMjEwNTM2NDE0Nl5BMl5BanBnXkFtZTgwMzMzNTc4MDI@._V1_SX300.jpg,/img/posters/2018/kedi-2016.jpg
"29 Aug 2018",socrates-sculpture-park,"The Passionate Thief",1960,"On New Year's Eve, an insecure, struggling actress (Anna Magnani) has nothing to do. When a colleague invites her to a New Year's party, she jumps at the opportunity. Accidentally she runs ...",http://socratessculpturepark.org/program/thechallenge/,0,"Pre-screening performance at 7pm, film starts at sundown",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZjBhNjk3ZWMtNjI5ZS00MDAwLTg3ZWEtY2YwNTkwNTFhZjg3XkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_SX300.jpg,/img/posters/2018/the-passionate-thief-1960.jpg
"11 Jul 2018",mccarren-park,Jawbreaker,1999,"Three of the most popular girls at Reagan High accidentally kill the prom queen with a jawbreaker when a kidnapping goes horribly wrong.",http://www.summerscreen.org,0,"Doors at 6pm, music at 7pm, film at sundown",R,https://ia.media-imdb.com/images/M/MV5BOTcwZWZkZWUtZjRhMi00ZDNhLTljOWItNjBkNzIwYTA0YWQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,/img/posters/2018/jawbreaker-1999.jpg
"18 Jul 2018",mccarren-park,"When Harry Met Sally",1989,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",http://www.summerscreen.org,0,"Doors at 6pm, music at 7pm, film at sundown",R,https://ia.media-imdb.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_SX300.jpg,/img/posters/2018/when-harry-met-sally-1989.jpg
"25 Jul 2018",mccarren-park,"Love & Basketball",2000,"Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.",http://www.summerscreen.org,0,"Doors at 6pm, music at 7pm, film at sundown",PG-13,https://ia.media-imdb.com/images/M/MV5BMTU4NjY4NTI5MF5BMl5BanBnXkFtZTYwNjQ4OTc3._V1_SX300.jpg,/img/posters/2018/love-basketball-2000.jpg
"1 Aug 2018",mccarren-park,Hackers,1995,"This movie is about hackers who are blamed for making a virus that will capsize 5 oil tankers.",http://www.summerscreen.org,0,"Doors at 6pm, music at 7pm, film at sundown",PG-13,https://ia.media-imdb.com/images/M/MV5BNmExMTkyYjItZTg0YS00NWYzLTkwMjItZWJiOWQ2M2ZkYjE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,/img/posters/2018/hackers-1995.jpg
"8 Aug 2018",mccarren-park,"Fantastic Mr. Fox",2009,"An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.",http://www.summerscreen.org,0,"Doors at 6pm, music at 7pm, film at sundown",PG,https://ia.media-imdb.com/images/M/MV5BOGUwYTU4NGEtNDM4MS00NDRjLTkwNmQtOTkwMWMyMjhmMjdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,/img/posters/2018/fantastic-mr-fox-2009.jpg
"15 Aug 2018",mccarren-park,"Die Hard",1988,"John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.",http://www.summerscreen.org,0,"Doors at 6pm, music at 7pm, film at sundown",R,https://ia.media-imdb.com/images/M/MV5BMzNmY2IwYzAtNDQ1NC00MmI4LThkOTgtZmVhYmExOTVhMWRkXkEyXkFqcGdeQXVyMTk5NDA3Nw@@._V1_SX300.jpg,/img/posters/2018/die-hard-1988.jpg
"22 Aug 2018",mccarren-park,(TBC),,,http://www.summerscreen.org,0,"Surprise Musical Movie

Doors at 6pm, music at 7pm, film at sundown",,,
"29 Aug 2018",mccarren-park,(TBC),,,http://www.summerscreen.org,0,"Audience Choice

Doors at 6pm, music at 7pm, film at sundown",,,
"7 Jun 2018",albee-square,"Close Encounters of the Third Kind",1977,"After an accidental encounter with otherworldly vessels, an ordinary man follows a series of psychic clues to the first scheduled meeting between representatives of Earth and visitors from the cosmos.",http://downtownbrooklyn.com/events/outer-space-outdoors-movies-albee-square-curated-by-alamo-drafthouse-cinema,0,"Doors at 6:30pm, music at 7pm, film at 8pm",PG,https://ia.media-imdb.com/images/M/MV5BMjM1NjE5NjQxN15BMl5BanBnXkFtZTgwMjYzMzQxMDE@._V1_SX300.jpg,/img/posters/2018/close-encounters-of-the-third-kind-1977.jpg
"14 Jun 2018",albee-square,"Men in Black",1997,"A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.",http://downtownbrooklyn.com/events/outer-space-outdoors-movies-albee-square-curated-by-alamo-drafthouse-cinema-1,0,"Doors at 6:30pm, music at 7pm, film at 8pm",PG-13,https://ia.media-imdb.com/images/M/MV5BOTlhYTVkMDktYzIyNC00NzlkLTlmN2ItOGEyMWQ4OTA2NDdmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,/img/posters/2018/men-in-black-1997.jpg
"21 Jun 2018",albee-square,"Space Jam",1996,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",http://downtownbrooklyn.com/events/outer-space-outdoors-movies-albee-square-curated-by-alamo-drafthouse-cinema-1-1,0,"Doors at 6:30pm, music at 7pm, film at 8pm",PG,https://ia.media-imdb.com/images/M/MV5BMDgyZTI2YmYtZmI4ZC00MzE0LWIxZWYtMWRlZWYxNjliNTJjXkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,/img/posters/2018/space-jam-1996.jpg
"28 Jun 2018",albee-square,Gravity,2013,"Two astronauts work together to survive after an accident which leaves them stranded in space.",http://downtownbrooklyn.com/events/outer-space-outdoors-movies-albee-square-curated-by-alamo-drafthouse-cinema-1-1-1,0,"Doors at 6:30pm, music at 7pm, film at 8pm",PG-13,https://ia.media-imdb.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX300.jpg,/img/posters/2018/gravity-2013.jpg
"14 Jun 2018",oculus-plaza,"La La Land",2016,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",https://www.tribecafilm.com/drive-in,0,"Doors at 5pm, film at 7:30pm

Online ticket reservation required",PG-13,https://ia.media-imdb.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_SX300.jpg,/img/posters/2018/la-la-land-2016.jpg
"15 Jun 2018",oculus-plaza,Chef,2014,"A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.",https://www.tribecafilm.com/drive-in,0,"Doors at 5pm, film at 7:30pm

Online ticket reservation required",R,https://ia.media-imdb.com/images/M/MV5BMTY5NTYzNTA1M15BMl5BanBnXkFtZTgwODIwODU1MTE@._V1_SX300.jpg,/img/posters/2018/chef-2014.jpg
"16 Jun 2018",oculus-plaza,"The Princess and the Frog",2009,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",https://www.tribecafilm.com/drive-in,0,"Doors at 5pm, film at 7:30pm

Online ticket reservation required",G,https://ia.media-imdb.com/images/M/MV5BMjEyOTQ5NzAzNl5BMl5BanBnXkFtZTcwMTcyNTU1Mg@@._V1_SX300.jpg,/img/posters/2018/the-princess-and-the-frog-2009.jpg
"12 Jul 2018",oculus-plaza,"When Harry Met Sally",1989,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",https://www.tribecafilm.com/drive-in,0,"Doors at 5pm, film at 7:30pm

Online ticket reservation required",R,https://ia.media-imdb.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_SX300.jpg,/img/posters/2018/when-harry-met-sally-1989.jpg
"13 Jul 2018",oculus-plaza,Moonstruck,1987,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.",https://www.tribecafilm.com/drive-in,0,"Doors at 5pm, film at 7:30pm

Online ticket reservation required",PG,https://ia.media-imdb.com/images/M/MV5BMjIwMDY0NzYyMF5BMl5BanBnXkFtZTcwOTE5NDk0NA@@._V1_SX300.jpg,/img/posters/2018/moonstruck-1987.jpg
"14 Jul 2018",oculus-plaza,"Lady and the Tramp",1955,"The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.",https://www.tribecafilm.com/drive-in,0,"Doors at 5pm, film at 7:30pm

Online ticket reservation required",G,https://ia.media-imdb.com/images/M/MV5BODk4YWI2MzItYzc2Yi00M2U0LWFhY2MtOTgyODM2NWE0MDcyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,/img/posters/2018/lady-and-the-tramp-1955.jpg
"9 Aug 2018",oculus-plaza,"Mean Girls",2004,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",https://www.tribecafilm.com/drive-in,0,"Doors at 5pm, film at 7:30pm

Online ticket reservation required",PG-13,https://ia.media-imdb.com/images/M/MV5BMjE1MDQ4MjI1OV5BMl5BanBnXkFtZTcwNzcwODAzMw@@._V1_SX300.jpg,/img/posters/2018/mean-girls-2004.jpg
"10 Aug 2018",oculus-plaza,"Coming to America",1988,"An extremely pampered African Prince travels to Queens, New York, and goes undercover to find a wife whom he can respect for her intelligence and will.",https://www.tribecafilm.com/drive-in,0,"Doors at 5pm, film at 7:30pm

Online ticket reservation required",R,https://ia.media-imdb.com/images/M/MV5BNGZlNjdlZmMtYTg0MC00MmZkLWIyNDktYmNlOWYzMTkzYWQ1XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,/img/posters/2018/coming-to-america-1988.jpg
"11 Aug 2018",oculus-plaza,Elf,2003,"After inadvertently wreaking havoc on the elf community due to his ungainly size, a man raised as an elf at the North Pole is sent to the U.S. in search of his true identity.",https://www.tribecafilm.com/drive-in,0,"Doors at 5pm, film at 7:30pm

Online ticket reservation required",PG,https://ia.media-imdb.com/images/M/MV5BMzUxNzkzMzQtYjIxZC00NzU0LThkYTQtZjNhNTljMTA1MDA1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,/img/posters/2018/elf-2003.jpg
"9 Jun 2018",field-81-randalls-island,"Ferris Bueller’s Day Off",1986,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",https://randallsisland.org/events/outdoor-movie-night-ferris-buellers-day-off-pg-13/,0,"Film at 8:30pm",PG-13,https://ia.media-imdb.com/images/M/MV5BMDA0NjZhZWUtNmI2NC00MmFjLTgwZDYtYzVjZmNhMDVmOTBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,
"22 Jun 2018",field-42-randalls-island,"Wonder Woman",2017,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",https://randallsisland.org/events/outdoor-movie-night-wonder-woman-pg-13/,0,"Film at 8:30pm",PG-13,https://ia.media-imdb.com/images/M/MV5BNDFmZjgyMTEtYTk5MC00NmY0LWJhZjktOWY2MzI5YjkzODNlXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,
"8 Jul 2018",field-81-randalls-island,"Jumanji: Welcome to the Jungle",2017,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",https://randallsisland.org/events/outdoor-movie-night-jumanji-welcome-jungle-pg-13/,0,"Film at 8:30pm",PG-13,https://ia.media-imdb.com/images/M/MV5BODQ0NDhjYWItYTMxZi00NTk2LWIzNDEtOWZiYWYxZjc2MTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,
"22 Jul 2018",field-42-randalls-island,"The LEGO Batman Movie",2017,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",https://randallsisland.org/events/outdoor-movie-night-lego-batman-movie/,0,"Film at 8:30pm",PG,https://ia.media-imdb.com/images/M/MV5BMTcyNTEyOTY0M15BMl5BanBnXkFtZTgwOTAyNzU3MDI@._V1_SX300.jpg,
"5 Aug 2018",field-81-randalls-island,Coco,2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",https://randallsisland.org/events/outdoor-movie-night-coco-pg/,0,"Film at 8:00pm",PG,https://ia.media-imdb.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_SX300.jpg,
"19 Aug 2018",field-81-randalls-island,"Guardians of the Galaxy",2014,"A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.",https://randallsisland.org/events/outdoor-movie-night-guardians-galaxy/,0,"Film at 8:00pm",PG-13,https://ia.media-imdb.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,
"9 Sep 2018",field-42-randalls-island,"Rogue One: A Star Wars Story",2016,"The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.",https://randallsisland.org/events/outdoor-movie-night-rogue-one-star-wars-story/,0,"Film at 7:30pm",PG-13,https://ia.media-imdb.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_SX300.jpg,
